,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"88,908","1,417","4,111","3,818","3,658","3,552","3,408","3,244","3,191","2,804","2,655","2,531","2,378","2,322","2,332","2,212","2,163","2,209","2,193","2,125","2,015","2,057","2,155","2,202","2,199","2,188","2,348","2,293","2,343","2,363","2,340","2,297","2,170","2,127","2,107","1,705","1,676"
< 1 Year,,"3,404",33,114,111,124,133,119,111,130,127,120,117,106,110,105,116,100,87,89,81,72,82,71,64,73,60,81,95,74,91,90,108,90,125,88,72,35
1-5 Years,,"2,674",24,97,106,100,114,113,107,101,110,97,86,90,88,76,82,102,75,73,68,73,48,79,82,58,66,55,64,55,60,63,54,62,53,50,23,20
6-10 Years,,"1,626",19,66,67,67,80,67,48,55,74,55,60,60,43,55,49,57,45,38,44,44,51,41,27,47,36,41,37,38,42,38,33,23,20,23,17,19
11-17 Years,,"4,044",75,214,204,170,180,169,165,158,146,132,141,114,132,122,112,107,120,114,121,102,106,97,100,95,90,88,81,95,79,72,77,59,63,59,41,44
18-34 Years,,"8,220",157,445,376,325,367,303,309,290,225,256,239,214,220,224,207,205,235,231,240,212,193,204,194,167,183,176,180,190,177,177,203,176,175,173,185,187
35-49 Years,,"17,587",263,737,603,683,640,581,573,538,502,394,435,429,384,429,395,419,440,438,406,401,434,403,458,420,436,476,466,509,527,549,541,530,557,592,503,496
50-64 Years,,"40,559",581,"1,697","1,621","1,530","1,444","1,397","1,358","1,361","1,174","1,137","1,007","1,003","1,012",999,964,920,961,967,956,930,970,"1,040","1,069","1,123","1,108","1,225","1,178","1,219","1,247","1,255","1,177","1,144","1,061","1,050",823,851
65 +,,"10,794",265,741,730,659,594,659,573,558,446,464,446,362,333,322,287,253,246,243,209,181,173,220,208,216,209,206,192,163,140,96,104,86,73,72,41,24
